cc_metric_0,cc_metric_1,cc_metric_2,cc_metric_3,cc_metric_4,cc_metric_5,cc_metric_6,cc_metric_7,cc_metric_8,cc_metric_9,cc_metric_10,cc_metric_11,cc_metric_12,cc_metric_13,cc_metric_14,cc_metric_15,cc_metric_16,cc_metric_17,cc_metric_18,cc_metric_19,cc_metric_20,cc_metric_21,cc_metric_22,cc_metric_23,cc_metric_24,cc_metric_25,cc_metric_26,cc_metric_27,cc_metric_28,cc_metric_29,cc_metric_30,cc_metric_31,cc_metric_32,cc_metric_33,cc_metric_34,cc_metric_35,cc_metric_36,cc_metric_37,cc_metric_38,cc_metric_39,cc_metric_40,cc_metric_41,cc_metric_42,cc_metric_43,cc_metric_44,cc_metric_45,cc_metric_46,cc_metric_47,cc_metric_48,cc_metric_49,click_coupon
-1.243133293,-0.8284340948,-0.7809458689,-1.3833727799,-1.1686461004,-0.47078013,1.265068559,-5.3214298838,3.3898691144,-0.6379004322,0.9609395699,0.9950595509,0.342424602,-0.5095942797,-0.5210433706,0.4334436904,-0.1958535774,0.7317394733,-0.1729766951,0.5383784321,1.1146373664,-1.0683975405,-0.4093109293,1.9810124488,-1.0683975405,0.1623185639,-1.6174986775,-0.1333948821,-0.5095942797,-0.3872103994,-5.3214298838,-0.0172670531,-0.7583417411,-1.3067541967,0.0231240867,-0.9362319396,-0.2122723062,-2.2550217346,-1.5362689231,2.9435789129,-0.9362319396,-1.1197394054,2.8456872055,1.9898678546,2.0557814667,4.8526104204,-1.3067541967,1.5272573343,0.307453401,-0.9270671539,1
0.1590351345,-1.3367890115,-0.6314190438,-0.4788371485,0.2217737771,-0.7448915516,0.6335733689,0.7206729893,2.2314738615,-1.1754736075,1.2987266573,-0.0620979389,0.6723510978,1.3456630964,-0.2004582979,-3.058298063,-0.2066077189,0.7762588388,0.8600941457,0.4787131184,-0.3138892785,-1.3964298846,0.1478880956,-0.7729701612,-1.3964298846,0.5919508581,-0.2391902767,0.4873724391,1.3456630964,0.1476648939,0.7206729893,1.0433564901,-0.1140443736,-1.5923086197,1.7353677353,-0.3562581613,0.0855871332,1.1128184583,-1.1177050272,3.7499281132,-0.3562581613,-7.4502150009,0.1760410266,1.8138376007,0.4049291696,0.9634650758,-1.5923086197,2.6616841083,0.8570841976,-1.0036748389,0
0.1679825798,0.7347577942,-0.1870897079,-1.3191716319,1.0490682954,-4.5780539445,0.8270446565,2.1338914954,12.2056310572,-2.8549266416,2.0333424146,1.0863483075,-4.9830872632,-1.1178443832,0.0993624843,1.3036780599,0.5225812975,1.617562157,0.5737799305,0.7084965746,1.9027287729,-3.9389430282,0.0697414232,2.3792960544,-3.9389430282,0.1823309336,-0.5234035826,-1.4874108831,-1.1178443832,-1.5729586581,2.1338914954,-2.4851150302,-0.5542791231,-0.9706737063,-1.9759931252,3.4571107129,-1.4485161317,-9.3427154113,0.4904671244,3.9687346733,3.4571107129,-2.3194163129,-0.2231865289,-0.3668671385,5.7427153224,6.9352305044,-0.9706737063,3.044498265,0.7275618043,-2.8139769056,1
1.1527639492,1.2156324753,-3.7204983669,1.5428482894,0.9311779202,2.0194929374,1.8314154857,-14.9638154464,-2.4491169083,-3.031746904,1.8294418979,1.3262970576,5.5495811278,6.3549838335,0.5468814299,0.7216357904,0.280611334,1.1621428007,0.9285713888,-1.1754853686,-0.9527252068,0.4678079152,0.2564943996,1.5287039547,0.4678079152,-1.6357204522,-0.6198086791,0.6999014134,6.3549838335,-0.8708079463,-14.9638154464,7.069716823,0.266064131,-2.6977562344,-3.3953961321,9.1582634507,-0.6893346142,8.6173424462,0.6056064954,0.0663358384,9.1582634507,-6.7115202019,2.081406707,-7.3704323842,6.8663993568,1.0383643687,-2.6977562344,1.2155887716,1.4606386748,-4.781058485,1
1.0795905673,1.1092071908,-1.2915653832,0.8426756448,-1.2010846646,2.7392718618,-1.0551723372,1.5813974785,1.737364669,-3.9367888796,-1.2360307569,-2.114993458,-5.6373797875,-4.6196074306,-1.0980508832,2.9351542048,0.9777334818,-0.8412962708,0.4998487333,1.2003917145,0.4716355587,-5.7372756466,-1.6480386412,1.9024145845,-5.7372756466,-0.1914501099,1.7673826349,0.7927879793,-4.6196074306,-1.4540602765,1.5813974785,1.6272997736,0.4291498306,-0.0199204123,1.1271226184,-10.7021019395,-1.1986115918,-7.2391515082,-1.1250776506,-4.0521737901,-10.7021019395,0.2779275995,-1.4495783564,0.0010084511,6.7233331535,-3.7005131929,-0.0199204123,5.958192929,0.400257374,4.1948641131,0
-2.9542523258,1.2231718186,-1.4740465104,-1.6014617195,-0.0973101764,-3.2861066596,-0.9530261951,-3.2693671828,-1.4262184434,-0.6703408528,-0.3310908612,-0.8451975486,2.2347759887,1.4231327146,-0.0797668586,-0.0833605825,-1.3442754075,-0.2248880605,1.5480221534,0.9785847544,-3.9674342927,5.5205071109,-1.2752446348,0.7297600966,5.5205071109,1.6948228121,0.6516828939,1.5150229382,1.4231327146,-0.3661000242,-3.2693671828,-1.7687977054,-1.8610717883,2.7978257235,-1.2224444918,1.7171852251,-0.5674181036,-3.2556339476,-0.4662445001,-2.2480784698,1.7171852251,0.779547636,-0.1941476456,1.8246262052,-11.3396280348,1.191246137,2.7978257235,-2.7568056053,0.8829695488,1.3932391315,1
0.2832438767,-0.9018106348,-1.4721380643,0.1511759455,-0.2198476938,-0.0618614225,1.0309757537,-7.8320337857,6.8329995123,-3.1885888632,-0.2542262983,-0.5793315793,6.2251327707,-0.516234805,-0.2550846484,-0.9104011269,-0.6846468048,2.347668552,0.7174672787,-0.2075451849,3.9728930458,-3.3418128362,-1.607291613,0.9424452277,-3.3418128362,0.7782296988,0.853874587,0.9780933912,-0.516234805,-0.3300629181,-7.8320337857,2.8723059636,-2.0330556571,-1.2649577387,-3.2592535447,-2.4519952998,0.4643717563,-3.2381778447,-0.7473116031,0.8637487767,-2.4519952998,-2.9543071471,0.9818750116,1.9751448036,3.3766468997,4.5080568686,-1.2649577387,7.6846443573,-0.8314308606,5.7662666638,0
0.1104050842,-1.7894803555,-0.4140539957,-0.8923804502,0.7350680576,2.3419415886,0.3895089513,7.5996107206,3.6885163465,-1.2338040824,-0.4545054228,-1.2728249179,0.4645787586,-5.6129296405,0.0368874916,1.3150709633,-1.2405506631,-0.600553572,-1.0558565316,0.4580246023,3.0078340388,-5.5677264072,2.5407780968,1.1722919757,-5.5677264072,0.4833468525,-1.6649871429,-0.3800189017,-5.6129296405,-1.3104447027,7.5996107206,-1.7137181245,0.7639332384,1.9661672804,-0.3092288558,-9.7623497059,0.0205600089,-6.7353698983,-0.948547218,-3.8019294925,-9.7623497059,9.8921408992,-3.202854027,0.0256258252,7.3972123326,-4.8132308705,1.9661672804,7.4046674983,-0.2731331574,9.6257763755,0
1.3691490532,-1.5994140964,-0.5237217264,-0.6700300643,0.3569588247,-2.4470071894,-0.0038994464,-1.5890027019,-0.3877179835,0.399133414,-1.6424755574,-1.453568709,4.9496683618,1.9891311835,1.9327549949,-2.2700317437,-1.3306825492,-0.0823264434,-0.9513578984,1.6267481226,1.5295588577,2.474063675,2.6101833087,-3.1269809527,2.474063675,0.5041074077,-0.253733974,0.7673479074,1.9891311835,1.3809025059,-1.5890027019,-0.6013770914,-1.3140197213,-0.3310287982,-2.138383557,3.1747267525,-0.4415807118,3.0572446687,-0.0881833316,0.4343795377,3.1747267525,-1.0847988675,1.3917662277,-2.1443408501,0.6357038386,-1.1538473947,-0.3310287982,-4.6679340938,0.5994566691,1.9262210869,1
-0.534326008,-1.0386728292,3.1535404361,-0.9837868384,1.5948799095,0.7661181524,-1.8568946431,6.6265069549,-1.691141546,0.1583445947,0.3890847827,-0.5068722664,0.9775179079,1.3442564198,0.3412038892,-3.9524504638,0.0799227321,0.3491407316,-0.6546848482,1.1897639957,0.3831480848,0.5818049617,-0.0723307004,0.5242444579,0.5818049617,0.5192666112,1.4696573733,-0.2784443019,1.3442564198,1.3300159819,6.6265069549,-2.2492027451,-1.8725889325,-0.8519963092,2.6117202367,0.2888231272,0.7738872353,2.9374122923,0.0718109428,3.2283194937,0.2888231272,-3.9809817689,-0.6811465629,2.2321852178,-2.148115617,0.707476251,-0.8519963092,3.5465258245,-0.3076780049,-2.0064779344,0
0.3252760482,-0.7648758976,0.2153253623,0.5891123187,-0.4346251426,4.2270667955,1.925100245,-0.4988196123,-5.3485070501,3.2370317513,0.536402181,-1.984972902,8.4314934751,-2.2574547817,0.2033191239,-0.0121952863,-0.5687588052,-1.5096732023,-1.8312945748,0.7747040327,5.1852940139,7.4999183695,-1.7655566108,1.9243313731,7.4999183695,-0.0757589521,1.6982235767,-0.6643137874,-2.2574547817,0.227274506,-0.4988196123,-3.4989670532,-0.1794457944,-0.2213693063,3.9614673621,-4.0073107248,0.0251117634,11.9295094146,1.8056483053,-1.7465974531,-4.0073107248,17.7553866686,-1.8109994333,1.4558381523,-0.9431309091,-2.3747901599,-0.2213693063,6.6337131421,-0.124654603,3.6707021539,0
0.7593557134,0.0688968665,-3.4669961111,-2.1213317538,-0.4047111031,-1.6573270029,-0.6542567976,-4.4711936447,-0.3723974653,-0.9031386517,-0.3404703868,-0.1121227151,3.4644908932,4.1774523812,-0.9445222831,-0.0124854847,-1.5308545427,0.531740262,2.5204436932,-1.4129444379,-2.4052382522,2.8970044611,0.0295055146,1.7345793844,2.8970044611,-0.3408161868,0.924720631,-0.4255685118,4.1774523812,1.2620032954,-4.4711936447,2.5402575545,-0.1182649636,-2.8280098075,-0.7640539924,8.8018227138,0.2281014102,3.4983968927,0.1337668658,0.1401126743,8.8018227138,-3.0015279598,-0.8438997842,-2.9766958289,-3.2105531577,2.4205863157,-2.8280098075,0.1360722171,-1.3039608339,-3.577572026,1
-0.3343177069,1.5019190023,-2.1251523031,-1.0524775603,-1.5939423053,1.9403882966,-0.4332041975,-2.2582058562,1.4924136803,0.94535047,-0.5669113614,0.7724425893,4.0648395338,-3.0710597225,-0.4089447217,-2.8169490493,-2.4790064163,0.2626650456,0.9253817156,1.0172672874,4.8034586543,-0.8501906422,-0.09877313,-2.177666979,-0.8501906422,1.4785920568,-1.2251834101,-0.5335894219,-3.0710597225,0.1801304859,-2.2582058562,0.9116740485,-0.5725864881,-2.3239691902,1.9369629337,-7.4417137208,0.4722230575,5.3598816161,-0.1535321868,1.7058788252,-7.4417137208,0.5223705728,0.0213508416,3.577251359,5.5264177712,-2.8650888022,-2.3239691902,6.3288789892,0.8865532061,3.0032881373,0
1.7309289644,-0.3475745794,-0.5480748783,-0.2125130262,0.2422368723,1.9037739634,-0.0548410839,2.8481422117,-1.0149219391,-1.5320118288,0.2038052636,0.9511572876,1.6332180211,-2.1249000174,-0.2841848543,-1.3995319237,-1.6306588729,-1.8500198048,1.4814561502,-0.5413162881,0.8527097182,0.5987672658,-0.3848878361,2.2411245342,0.5987672658,-1.1296231885,0.250524638,1.6267836188,-2.1249000174,0.1221722772,2.8481422117,-2.5448837747,-1.2870709159,-0.4882155054,2.5564441149,-6.0033847632,0.6461882005,-0.4982046355,2.144116703,-0.1770319763,-6.0033847632,3.7100225027,-1.3174764306,1.9137714734,1.5205518068,-2.327513445,-0.4882155054,6.8793036315,0.0029487211,2.4366668626,0
0.0873355189,-1.5473191133,2.990488823,0.090706372,-0.288453338,-2.2386586395,-0.8002826548,-2.4193234931,-4.2235581487,-0.7160204479,-0.7298910559,0.6100949109,2.0421474068,-0.7340925192,-1.3247722731,-2.3839796526,-0.7630519226,-2.2240095039,0.911529802,-0.1335390782,2.588773078,1.9953035833,-0.2289886873,-0.387674028,1.9953035833,-0.7212187441,0.6324256417,0.4477651371,-0.7340925192,-1.0045747149,-2.4193234931,1.3012450461,-0.9232632004,-1.1569872853,-1.3886867858,3.524870846,-0.6162117692,1.0274582263,-0.6308471907,-0.0994687506,3.524870846,-5.4238002037,3.4293356055,1.3047992033,-7.0817382043,3.5061208284,-1.1569872853,-2.9864598993,2.4114933556,5.7203092765,1
1.4456891855,1.2721219019,-1.8945742854,-1.3508700963,-1.0381760704,0.3451676144,-0.3280274914,-11.7068539543,-4.5672519046,-3.9317904776,0.7228450176,-0.3843578077,10.177696248,5.5114189425,-0.1379158104,-5.422200108,0.1367496901,0.4064253538,0.7053759132,0.4745421421,3.8070623157,1.7138600393,-1.1917486003,-1.0466531263,1.7138600393,-0.6143540819,-0.9544502687,0.6498976488,5.5114189425,0.510969948,-11.7068539543,7.1772298326,-2.1467717313,-4.1901240748,-1.0448901311,2.2502766683,-0.1164282501,14.0142464595,-0.5023464999,-0.149434642,2.2502766683,-16.658003578,3.7306755208,-3.0129936449,2.6980593667,0.0877133335,-4.1901240748,4.0636859091,-2.9021033876,1.892967884,1
0.2146735264,-6.1299208178,1.0320778937,2.4966027313,-0.1797445994,1.8201609507,-2.0468752859,-1.0761881822,-8.1799291588,-0.2790208546,0.1529497791,0.272684084,0.8068830224,0.7523963116,2.1763587598,1.1634585652,0.5096114087,-1.616782123,-1.3329242611,0.0491609663,-3.6233254136,4.6943721562,0.7955480034,1.5159380009,4.6943721562,0.3866215142,0.2963422612,-1.2751794263,0.7523963116,-0.0556590111,-1.0761881822,-2.5531293034,-0.1113241391,0.0919402072,3.0190499225,-4.1308736418,-1.2858220508,-2.0571775607,0.8876248445,-1.6498633429,-4.1308736418,4.7865410479,2.3995202783,1.0542029972,-6.8177579976,-0.8045988065,0.0919402072,-5.718791283,0.1006501195,1.4692371657,0
-0.0307312235,-1.106346082,2.3169810151,1.7679509838,-0.1178340811,-0.6644811531,0.4794215843,-5.7564698583,-12.7089585149,-0.2774442416,1.1131031822,0.0329148821,3.1302896026,-2.0807636263,-0.2820074329,-3.8380646386,1.4511030455,0.579683228,0.5765546067,-0.8482681143,0.4678992153,4.0543855469,-1.589542413,1.8932659943,4.0543855469,-0.4110022053,-0.1186791855,1.1098141148,-2.0807636263,1.0066007267,-5.7564698583,3.6665822061,-0.1587240274,2.2577972862,0.5967098358,6.4300919846,1.0486063315,8.7270104938,-0.0884363667,-0.0250686801,6.4300919846,-2.6800420795,4.6869787113,0.5370614348,-10.4501395684,0.2468459825,2.2577972862,-0.8465553832,-1.7414648276,10.3171044574,1
0.5653474118,1.9939772279,3.207585456,0.3604421615,1.3968087358,4.3705166652,0.7490114401,3.5569583423,-5.1539906019,0.0577430628,-1.4300084432,-0.0956932433,-1.0626132427,-1.848706086,-1.1579025579,0.6275292331,-0.4105271977,0.1769180874,-0.8197258759,-0.7090724562,2.7390122716,-0.2327574089,0.9327118052,0.9546983666,-0.2327574089,0.6215898209,-0.093158376,0.7362149013,-1.848706086,-1.8220043378,3.5569583423,1.4461991368,1.9848410006,0.0089559534,1.7615240054,-2.5167777201,-0.6331048719,5.6395368808,-0.8688303846,-3.3768032331,-2.5167777201,2.6951737984,-2.3021886071,-0.5967670573,0.4750772037,-2.8332994998,0.0089559534,5.2266862465,-0.6711692491,1.7928331702,0
1.1972762012,-1.4062375491,-4.5140116605,0.1352151826,-0.1887655963,-2.7131690884,0.3894152607,0.0220919598,9.3895737151,1.2753606184,-0.6113184124,-0.4702776897,7.7989733837,2.8517147345,-1.6207494139,1.2838532709,-0.9637345359,2.023539672,-1.1749733785,-1.0610317606,0.4621037444,0.6513533088,-1.1223622213,0.852206546,0.6513533088,-0.289008532,-0.9026305319,-2.4182597067,2.8517147345,0.3975525457,0.0220919598,1.0680801526,-0.754678969,-3.376093565,-2.7207182622,6.3488339255,-0.0757273498,-2.2341505807,0.8280098231,-0.9076798317,6.3488339255,4.3503248867,-4.8341511167,0.0891681143,-4.1625510001,5.4650398488,-3.376093565,3.9855413916,-0.1961493014,-0.3425854518,1
0.3950461044,1.3671559318,0.1544826665,-1.4411453453,-0.3613415224,-1.7962398167,-0.020700977,-1.0265799241,4.2613934228,-4.5364630335,0.1761793177,-1.3130900505,3.4221133032,0.9365910211,-0.0987302775,-3.0928434305,-1.2162001679,-0.8350263547,-2.0791396115,0.9786791234,4.2138522752,0.7351323111,0.3903579264,1.0750673729,0.7351323111,-0.5139616065,-1.2939021137,-0.4367546369,0.9365910211,0.0785658547,-1.0265799241,-2.4451929665,0.6645956863,0.8034621761,-0.68963871,-0.8467934716,-1.1389734975,2.8031744758,-0.4230252095,1.9782386839,-0.8467934716,-2.8613635449,0.4780552994,-2.217058082,7.7920901345,0.1090218222,0.8034621761,6.9512368168,0.1378818671,1.5905946121,1
-3.0324686786,-0.9837069348,0.0381961149,-0.5386236981,1.949631453,0.4192028494,1.4928108591,4.1007759113,6.7242537135,-4.6353662237,0.3110898425,0.7844641301,-2.7515692742,-2.1809638502,-0.0195717562,0.2316461872,-0.5191121348,-0.7509704697,-0.3124132967,1.5470158425,1.5607017786,-5.6436624651,-0.2048393107,0.2571870282,-5.6436624651,0.91689506,0.5727140084,0.8108206105,-2.1809638502,-1.8659427209,4.1007759113,-1.4307514239,0.4775633944,1.6240885309,0.8558968716,-12.2326120912,1.9404306911,-7.985081865,-1.2040750151,-1.0968491814,-12.2326120912,-2.7756262509,-0.8327034475,1.0242218833,7.9739569166,-2.0593705063,1.6240885309,5.9104581916,0.1091496326,4.0960578121,0
0.0438654728,-1.2536007074,-4.727242726,-0.6364634176,-0.6333758611,-3.827973107,1.2082295792,-4.6014389728,7.530068766,0.2245086397,-0.911493992,0.3492219513,5.5772059059,4.4513008991,-1.2782808351,0.0381729978,-0.4005494955,-0.8689909889,-1.1410474219,-0.7024118733,-0.6658332283,0.2890533383,1.2140535624,0.3504894858,0.2890533383,0.017992881,-0.7532255117,-0.3282937157,4.4513008991,-1.5131757079,-4.6014389728,1.5536405775,-1.2989951987,-0.8473234568,-4.7193565178,16.4158298778,-0.0095711155,2.8192010689,-0.5537938731,4.2066197432,16.4158298778,3.2464919302,-1.7200027769,-6.6942478627,5.5089981936,3.2000912724,-0.8473234568,0.1126570537,0.3286810976,-3.2165180299,1
0.9123388523,-2.9821550891,-1.3326459281,0.0143798689,0.7425413104,5.2992006581,0.7222072308,-6.9721798107,-4.752144982,2.3825431437,-0.1553501834,-2.0544276292,3.3656077508,-3.3653115972,0.1097760321,3.1495355348,0.7072746921,-0.7641147817,-1.2145097654,1.9955686286,1.2386201246,-0.9472328636,0.5650717751,5.640613379,-0.9472328636,-1.0076762915,0.4720052834,1.8271733495,-3.3653115972,-0.3710483481,-6.9721798107,2.978350071,-0.5250096514,2.0895124804,3.5213764655,-4.9372489123,-0.5494122565,6.4511889342,-0.6057189826,-1.0525369541,-4.9372489123,11.8821931565,2.8297180017,1.3721192607,1.23668948,1.2579925246,2.0895124804,5.67210716,-0.5798815162,6.2560947817,1
-1.2097037055,-1.0244920591,-0.5087684954,0.2867648669,0.3343046687,1.12072819,-0.1369184958,2.2062618202,-2.3842250516,0.8669952897,-0.5743898482,1.035020369,1.8919149607,-5.2621438539,0.8306103525,-1.0131073969,-0.8618385509,1.7803365322,0.7689144991,0.5016343047,2.3971121351,-0.0753438132,0.4290124196,-0.1613073193,-0.0753438132,0.4442513812,1.1019128167,-0.4746123605,-5.2621438539,0.9331542951,2.2062618202,-1.9472730152,1.4375426052,0.8780232578,0.6237207918,-5.4837359188,0.2774817465,-0.9804999209,0.5674039576,-1.1793442461,-5.4837359188,8.327346585,-0.0045217294,1.7505560688,1.6230563938,-4.2903790323,0.8780232578,2.2846518698,-1.398284539,7.9300401182,0
1.1861924124,2.9917578619,2.3681277706,-0.2150953511,1.6683204329,-3.5597769378,-0.6397927266,-2.9520868116,-6.4406342842,-1.9679740683,-0.1960856083,-0.1490078918,-2.1920890735,2.1519728276,0.4980179594,-1.3147804559,0.3781297989,-0.4729897943,0.0011612927,0.762470609,-2.1762628499,3.8104445372,1.3307091785,2.6698755289,3.8104445372,1.3731833344,-0.1828513174,0.3606524691,2.1519728276,0.167078843,-2.9520868116,2.9698645753,0.092478499,-2.6485221481,-3.7338553781,18.7238386101,-0.1369559178,0.840165464,0.7856819986,0.3569235824,18.7238386101,-8.866035165,0.6762761736,-3.0970762673,-11.0858723205,5.582430911,-2.6485221481,-2.9980398941,-0.3412087169,-2.4543198232,1
